customer_id,pickup_longitude,pickup_lattitude,dropoff_longitude,dropoff_lattitude,trip_distance,CS_distance,customer_waiting_time(mins)
1,-73.948418,40.72459,-73.92614,40.864761,4.592,0.215,5.0
2,-73.967171,40.764236,-73.956299,40.781261,1.318,0.838,2.8
3,-73.789757,40.646526,-74.136749,40.601543,34.715,0.665,4.7
4,-73.99955,40.731152,-73.977448,40.763031,2.507,0.263,6.3
5,-73.993698,40.736946,-73.861435,40.756256,13.32,0.965,5.3
6,-74.006058,40.739925,-73.957405,40.765686,5.035,1.121,2.7
7,-73.874245,40.773739,-74.0028,40.760498,12.946,0.506,8.7
8,-74.004868,40.751656,-73.988342,40.718399,2.02,0.974,9.0
9,-73.95546,40.787731,-73.961739,40.666935,3.521,0.351,7.8
10,-73.992805,40.741417,-73.995796,40.742596,0.438,0.58,11.1
11,-73.951843,40.773678,-74.005714,40.706718,5.81,0.755,9.2
12,-73.985153,40.719158,-73.99044,40.714077,0.683,0.981,8.0
13,-73.981865,40.775318,-73.968941,40.797646,1.564,0.679,18.4
14,-74.004601,40.740673,-73.981766,40.748974,2.424,1.07,5.1
15,-73.999512,40.728336,-73.949905,40.768562,5.201,0.315,5.6
16,-74.004852,40.746834,-73.994949,40.743904,1.128,1.132,2.1
17,-74.009186,40.713356,-73.973022,40.764114,4.0,0.538,2.4
18,-73.971107,40.762836,-73.889511,40.743282,8.282,1.129,6.5
19,-73.969048,40.79076,-73.985565,40.763634,1.944,0.262,15.8
20,-73.871056,40.773521,-73.871048,40.773544,0.139,0.236,11.5
21,-73.962936,40.769436,-73.964478,40.775707,0.369,0.547,19.5
22,-73.995872,40.738789,-74.0028,40.733406,0.844,0.366,2.3
23,-73.98349,40.766018,-73.935181,40.800961,5.044,0.717,2.5
24,-73.992271,40.749367,-73.940872,40.719212,5.324,0.845,11.3
25,-73.936447,40.817516,-73.945335,40.836784,1.17,0.465,10.9
26,-74.000824,40.737251,-73.998329,40.729549,0.465,0.455,18.4
27,-73.95256,40.714298,-73.947472,40.714977,0.645,1.058,17.7
28,-74.002014,40.750805,-74.008957,40.730881,1.02,0.559,12.1
29,-73.977303,40.779507,-73.989899,40.762012,1.482,0.532,13.9
30,-73.961273,40.774784,-73.987518,40.721779,3.131,0.379,2.6
31,-73.963303,40.798477,-73.951668,40.781746,1.385,0.475,5.6
32,-73.991104,40.750191,-73.997177,40.724567,1.066,0.538,1.3
33,-73.982285,40.757618,-74.000595,40.730709,2.106,0.575,11.6
34,-74.010765,40.716282,-73.996475,40.732327,1.628,0.959,1.7
35,-73.969238,40.797966,-74.004463,40.717175,4.289,0.752,8.0
36,-73.956001,40.776157,-73.948296,40.775581,0.906,0.884,10.6
37,-73.998383,40.724606,-73.991341,40.74892,1.107,0.806,12.1
38,-73.996078,40.73214,-74.009003,40.705235,1.622,0.806,1.4
39,-73.976303,40.785854,-73.866516,40.92667,11.741,0.429,13.4
40,-73.956703,40.717289,-73.957603,40.708954,0.385,1.197,19.9
41,-73.953636,40.771008,-73.952522,40.776531,0.327,0.236,13.9
42,-73.974319,40.763157,-73.98027,40.748528,0.854,1.191,2.6
43,-73.998672,40.734123,-73.993217,40.73098,0.688,0.215,16.6
44,-73.959862,40.813721,-73.948967,40.829994,1.312,0.676,9.2
45,-73.871223,40.773987,-73.734146,41.006832,15.244,1.181,9.1
46,-73.978676,40.75016,-73.982918,40.751945,0.564,0.261,18.0
47,-73.98938,40.720375,-74.001289,40.725372,1.332,0.715,14.6
48,-73.999496,40.743977,-73.980797,40.748592,2.005,0.411,7.4
49,-73.988152,40.71841,-73.824684,40.727577,16.419,1.094,2.3
50,-73.981667,40.75695,-73.978317,40.76178,0.497,0.634,7.2
51,-73.985504,40.727238,-73.949509,40.777843,3.984,1.085,15.3
52,-73.988998,40.730885,-73.961792,40.76442,3.0,0.582,5.7
53,-73.970818,40.796089,-73.98719,40.770157,1.918,1.121,7.1
54,-74.012184,40.701618,-73.9991,40.711777,1.471,1.185,9.9
55,-73.97998,40.770767,-73.986038,40.763985,0.77,0.451,3.1
56,-73.997475,40.726013,-73.995819,40.748833,0.786,0.983,11.1
57,-73.985825,40.726784,-73.975372,40.744701,1.29,0.662,1.3
58,-73.994003,40.744415,-74.004227,40.721992,1.328,0.669,10.3
